decimal_token,unicode_scalar
0001,U+4E00
0002,U+4E01
0003,U+4E03
0004,U+4E08
0005,U+4E09
0006,U+4E0A
0007,U+4E0B
0008,U+4E0D
0009,U+4E10
0010,U+4E11
0011,U+4E14
0012,U+4E15
0013,U+4E16
0014,U+4E19
0015,U+4E1E
0016,U+4E22
0017,U+4E26
0019,U+4E28
0020,U+4E2A
0021,U+4E2B
0022,U+4E2D
0023,U+4E30
0024,U+4E31
0025,U+4E32
0027,U+4E36
0029,U+4E38
0030,U+4E39
0031,U+4E3B
0033,U+4E3F
0034,U+4E42
0035,U+4E43
0036,U+4E45
0037,U+4E4B
0038,U+4E4D
0039,U+4E4E
0040,U+4E4F
0041,U+4E56
0042,U+4E58
0044,U+4E59
0045,U+4E5C
0046,U+4E5D
0047,U+4E5E
0048,U+4E5F
0049,U+4E69
0050,U+4E73
0051,U+4E7E
0052,U+4E82
0053,U+6C39
0054,U+4E85
0055,U+4E86
0056,U+4E88
0057,U+4E8B
0059,U+4E8C
0060,U+4E8E
0061,U+4E91
0062,U+4E92
0063,U+4E94
0064,U+4E95
0065,U+4E99
0066,U+2F81B
0067,U+4E9B
0068,U+4E9E
0069,U+4E9F
0071,U+4EA0
0072,U+4EA1
0073,U+4EA2
0074,U+4EA4
0075,U+4EA5
0076,U+4EA6
0077,U+4EA8
0078,U+4EAB
0079,U+4EAC
0080,U+4EAD
0081,U+4EAE
0082,U+4EB3
0083,U+4EB6
0084,U+4EB9
0086,U+4EBA
0087,U+4EC0
0088,U+4EC1
0089,U+4EC3
0090,U+4EC4
0091,U+4EC6
0092,U+4EC7
0093,U+4ECA
0094,U+4ECB
0095,U+4ECD
0096,U+4EC2
0097,U+4EC9
0098,U+4ED4
0099,U+4ED5
0100,U+4ED6
0101,U+4ED7
0102,U+4ED8
0103,U+4ED9
0104,U+4EDD
0105,U+4EDE
0106,U+4EE1
0107,U+4EDF
0108,U+4EE3
0109,U+4EE4
0110,U+4EE5
0111,U+4EF0
0112,U+4EF2
0113,U+4EF3
0114,U+4EF5
0115,U+4EF6
0116,U+4EF7
0117,U+4EFB
0118,U+4EFD
0119,U+4EFF
0120,U+4F01
0121,U+4F09
0122,U+4F0A
0123,U+4F0B
0124,U+4F0D
0125,U+4F0E
0126,U+4F0F
0127,U+4F10
0128,U+4F11
0129,U+4F19
0130,U+4F2F
0131,U+4F30
0132,U+4F60
0133,U+4F34
0134,U+4F36
0135,U+4F38
0136,U+4F3A
0137,U+4F3B
0138,U+4F3C
0139,U+4F3D
0140,U+4F43
0141,U+4F46
0142,U+4F48
0143,U+4F4D
0144,U+4F4E
0145,U+4F4F
0146,U+4F50
0147,U+4F51
0148,U+4F54
0149,U+4F55
0150,U+4F57
0151,U+4F59
0152,U+4F58
0153,U+4F5A
0154,U+4F5B
0155,U+4F5C
0156,U+4F5E
0157,U+4F5F
0158,U+4F7A
0159,U+4F7D
0160,U+4F69
0161,U+4F6A
0162,U+4F6F
0163,U+4F73
0164,U+4F75
0165,U+4F76
0166,U+4F78
0167,U+4F7B
0168,U+4F7E
0169,U+4F7F
0170,U+4F83
0171,U+4F86
0172,U+4F88
0173,U+4F8B
0174,U+4F8D
0175,U+4F8F
0176,U+4F91
0177,U+4F94
0178,U+4F96
0179,U+4F97
0180,U+4F9B
0181,U+4F9D
0182,U+4FB7
0183,U+4FD4
0184,U+4FC5
0185,U+4FAE
0186,U+4FAF
0187,U+4FB5
0188,U+4FB6
0189,U+4FBF
0190,U+4FC2
0191,U+4FC3
0192,U+4FC4
0193,U+4FCA
0194,U+4FCE
0195,U+4FCF
0196,U+4FD0
0197,U+4FD1
0198,U+4FD7
0199,U+4FD8
0200,U+4FDA
0201,U+4FDB
0202,U+4FDD
0203,U+4FDF
0204,U+4FE0
0205,U+4FDE
0206,U+5008
0207,U+4FE1
0208,U+4FEE
0209,U+4FF6
0210,U+5000
0211,U+5005
0212,U+500C
0213,U+502C
0214,U+4FEF
0215,U+4FF1
0216,U+4FF3
0217,U+4FF5
0218,U+4FF8
0219,U+4FFA
0220,U+4FFE
0221,U+5009
0222,U+500B
0223,U+500D
0224,U+5006
0225,U+500F
0226,U+5011
0227,U+5012
0228,U+5016
0229,U+5018
0230,U+5019
0231,U+501A
0232,U+501C
0233,U+5002
0234,U+501F
0235,U+5021
0236,U+5023
0237,U+503C
0238,U+5025
0239,U+5026
0240,U+5028
0241,U+5029
0242,U+502A
0243,U+502B
0244,U+502D
0245,U+5048
0246,U+504E
0247,U+5072
0248,U+5041
0249,U+5043
0250,U+5047
0251,U+5049
0252,U+504F
0253,U+5055
0254,U+505A
0255,U+505C
0256,U+5065
0257,U+506A
0258,U+5074
0259,U+5075
0260,U+5076
0261,U+508E
0262,U+5094
0263,U+5096
0264,U+5080
0265,U+5085
0266,U+508D
0267,U+5091
0268,U+5092
0269,U+506B
0270,U+5098
0271,U+5099
0272,U+509A
0273,U+509E
0274,U+20270
0275,U+50AC
0276,U+50AD
0277,U+50B2
0278,U+50B3
0279,U+50B4
0280,U+50B5
0281,U+50B7
0282,U+50BE
0283,U+50C2
0284,U+50C5
0285,U+50C7
0286,U+50C9
0287,U+50CA
0288,U+50CF
0289,U+50F1
0290,U+50CE
0291,U+50E6
0292,U+50E8
0293,U+50E9
0294,U+50D1
0295,U+50D5
0296,U+50D6
0297,U+50DA
0298,U+507D
0299,U+50E5
0300,U+50E7
0301,U+50ED
0302,U+50EE
0303,U+5101
0304,U+50F5
0305,U+50F9
0306,U+50FB
0307,U+50FE
0308,U+5100
0309,U+5102
0310,U+5104
0311,U+5106
0312,U+5108
0313,U+5109
0314,U+510E
0315,U+510C
0316,U+50F0
0317,U+510B
0318,U+5107
0319,U+5110
0320,U+5112
0321,U+5114
0322,U+5115
0323,U+5117
0324,U+5118
0325,U+5124
0326,U+511F
0327,U+512A
0328,U+5132
0329,U+5133
0330,U+5137
0331,U+513B
0332,U+513C
0333,U+5161
0334,U+513F
0335,U+5140
0336,U+5141
0337,U+5143
0338,U+5144
0339,U+5145
0340,U+5146
0341,U+5148
0342,U+5149
0343,U+5147
0344,U+514B
0345,U+514C
0346,U+514D
0347,U+5154
0348,U+5152
0349,U+5155
0350,U+5157
0351,U+515C
0352,U+5162
0353,U+5163
0354,U+5165
0355,U+5167
0356,U+5168
0357,U+5169
0358,U+516A
0360,U+516B
0361,U+516C
0362,U+516D
0363,U+516E
0364,U+5171
0365,U+5175
0366,U+5176
0367,U+5177
0368,U+5178
0369,U+517C
0370,U+5180
0372,U+5182
0373,U+5189
0374,U+518C
0375,U+518D
0376,U+518F
0377,U+5193
0378,U+5191
0379,U+5192
0380,U+5195
0382,U+5196
0383,U+5197
0384,U+519E
0385,U+51A0
0386,U+51A2
0387,U+51A4
0388,U+51A5
0389,U+51AA
0391,U+51AB
0392,U+51AC
0393,U+51B0
0394,U+51B2
0395,U+51B1
0396,U+51B6
